question id is 1, final answer is 2
question id is 2, final answer is 2
question id is 3, final answer is 2
question id is 4, final answer is 2 
question id is 5, final answer is 2 
question id is 6, final answer is 2
question id is 7, final answer is 3
question id is 8, final answer is 2
question id is 9, final answer is 3
question id is 10, final answer is 2 
question id is 11, final answer is 2 
question id is 12, final answer is 2
question id is 13, final answer is 2
question id is 14, final answer is 2
question id is 15, final answer is 2
question id is 16, final answer is 2 
question id is 17, final answer is 3
question id is 18, final answer is 2
question id is 19, final answer is 2
question id is 20, final answer is 1
question id is 21, final answer is 2
question id is 22, final answer is 2 
question id is 23, final answer is 3
question id is 24, final answer is 1
question id is 25, final answer is 1
question id is 26, final answer is 2
question id is 27, final answer is 3
question id is 28, final answer is 2
question id is 29, final answer is 2
question id is 30, final answer is 2
question id is 31, final answer is 2
question id is 32, final answer is 2
question id is 33, final answer is 2
question id is 34, final answer is 2
question id is 35, final answer is 2
question id is 36, final answer is 2
question id is 37, final answer is 2
question id is 38, final answer is 1
question id is 39, final answer is 3
question id is 40, final answer is 2
question id is 41, final answer is 2
question id is 42, final answer is 1
question id is 43, final answer is 1
question id is 44, final answer is 1
question id is 45, final answer is 2
question id is 46, final answer is 2
question id is 47, final answer is 2
question id is 48, final answer is 2
question id is 49, final answer is 2
question id is 50, final answer is 2
question id is 51, final answer is 2
question id is 52, final answer is 2 
question id is 53, final answer is 2
question id is 54, final answer is 2
question id is 55, final answer is 2
question id is 56, final answer is 2
question id is 57, final answer is 1
question id is 58, final answer is 1
question id is 59, final answer is 2
question id is 60, final answer is 2
question id is 61, final answer is 2
question id is 62, final answer is 1
question id is 63, final answer is 1
question id is 64, final answer is 1
question id is 65, final answer is 1
question id is 66, final answer is 3
question id is 67, final answer is 1
question id is 68, final answer is 1
question id is 69, final answer is 3
question id is 70, final answer is 3
question id is 71, final answer is 2
question id is 72, final answer is 1
question id is 73, final answer is 1
question id is 74, final answer is 1
question id is 75, final answer is 1
question id is 76, final answer is 1
question id is 77, final answer is 2
question id is 78, final answer is 1
question id is 79, final answer is 2
question id is 80, final answer is 2
